,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,p1,p2,p3,p4
129,Jarrod Dyson,370,76,36,21,232,8,444,0.246,0.317,0.334,0.6509999999999999,0.15742128935532235,0.5687156421789106,0.1979010494752624,0.07596201899050475,0.028326500186358555,0.013417815877748788,0.007827059262020127,0.08647036898993664,0.002981736861721953,0.1654863958255684,-0.2901201875378278,0.2329523648279518,-0.04454737936330089,-0.07351308063824104
130,Adam Eaton,528,157,44,60,324,5,608,0.282,0.36,0.416,0.775,0.17258124766529698,0.5353007097497199,0.2379529323870004,0.05416511019798281,0.04334621755935947,0.012147984538928768,0.016565433462175594,0.0894533406957482,0.0013804527885146328,0.16786305908337934,-0.2503704330708835,0.20724545210862422,-0.07016071964847244,-0.05020503624290085
131,A.J. Ellis,194,82,3,44,280,22,414,0.239,0.34,0.35200000000000004,0.693,0.2461538461538461,0.4646153846153846,0.2301538461538461,0.059076923076923075,0.03560573165436387,0.0013026487190620929,0.01910551454624403,0.121580547112462,0.009552757273122015,0.17976552323056882,-0.2454710240895854,0.10825225260913716,-0.08443958921026307,-0.046179389629734544
132,Mark Ellis,330,131,7,47,218,12,432,0.255,0.317,0.359,0.675,0.2795891022778026,0.4115676641357749,0.2005359535506923,0.10808396605627513,0.04261548471047495,0.002277163305139883,0.015289525048796356,0.07091737150292778,0.003903708523096942,0.1405335068314899,-0.25738840617702596,0.03559661403638143,-0.05019762604318399,-0.046459903595162604
133,Jacoby Ellsbury,729,234,46,101,391,19,722,0.282,0.341,0.415,0.7559999999999999,0.21791880541297245,0.483434437704153,0.2221185254316379,0.07489500699953336,0.04458841463414634,0.008765243902439025,0.01924542682926829,0.07450457317073171,0.003620426829268293,0.13757621951219512,-0.25331209100462937,0.13488659071819947,-0.0641542518430591,-0.04794424020040291
134,Edwin Encarnacion,948,296,8,384,803,45,1202,0.258,0.35,0.505,0.855,0.28655578655578656,0.3671171171171171,0.2243589743589744,0.1217948717948718,0.043117261471230885,0.001165331391114348,0.05593590677348871,0.11697013838310268,0.006554989075018208,0.1750910415149308,-0.2176817299675354,-0.00013666393483890835,-0.031877305558457164,-0.03197407671108681
135,Alcides Escobar,605,224,54,41,231,17,776,0.258,0.293,0.343,0.636,0.2131628589394257,0.4950744078809474,0.22301404317753093,0.06874869000209599,0.039284461592423714,0.009470361276745002,0.007190459487898983,0.04051210101718696,0.002981410031567871,0.13609259908803928,-0.25946366335142207,0.1468395659382458,-0.07368478538573761,-0.053532841759772416
136,Eduardo Escobar,426,189,32,110,245,21,712,0.257,0.308,0.43,0.7390000000000001,0.2836484983314794,0.38338895068594736,0.2617723396366333,0.07119021134593992,0.05148460909833832,0.008716970852628712,0.0299645873059112,0.06673930809043857,0.005720512122037592,0.19395260147098886,-0.19933398129057509,0.02572804388030364,-0.08810337672626857,-0.026085976533292525
137,Yunel Escobar,635,233,12,85,482,15,640,0.28,0.348,0.382,0.73,0.20698412698412694,0.5612698412698413,0.1995767195767196,0.03216931216931217,0.041607142857142856,0.002142857142857143,0.015178571428571428,0.08607142857142858,0.002678571428571429,0.11428571428571427,-0.3013473350928608,0.20179411080635132,-0.10174092113683443,-0.058436748768905825
138,Danny Espinosa,367,139,12,98,242,32,943,0.221,0.297,0.378,0.675,0.2446861097380129,0.4661393969352447,0.20217498764211567,0.08699950568462679,0.04254667891031527,0.003673094582185491,0.02999693908784818,0.07407407407407407,0.009794918885827977,0.2886440159167432,-0.2705984702597259,0.10109158817842773,-0.05731630913300634,-0.04695150781470805
139,Andre Ethier,541,251,25,138,439,54,793,0.282,0.359,0.463,0.8220000000000001,0.2895,0.42575,0.23175,0.053,0.05605180884323359,0.005582849486377847,0.03081732916480572,0.098034836980795,0.01205895489057615,0.17708798570790532,-0.23950210563747124,0.05197933374777132,-0.10290691086845102,-0.03250378421358086
140,Prince Fielder,669,247,7,239,696,138,892,0.28300000000000003,0.385,0.495,0.88,0.2828012358393409,0.4280123583934088,0.2160659114315139,0.07291452111225541,0.045221530574880986,0.001281581838154522,0.04375686561699011,0.12742585133650675,0.025265470523617724,0.1633101428048334,-0.24833293152908875,0.05314003828057819,-0.07790662227139303,-0.03890136407612347
141,Chone Figgins,298,84,13,10,291,4,413,0.257,0.344,0.321,0.665,0.2660933660933661,0.4631449631449631,0.20466830466830466,0.0660933660933661,0.03314917127071823,0.005130228887134964,0.003946329913180742,0.1148382004735596,0.0015785319652722968,0.16298342541436464,-0.2685366687152605,0.0903679792366079,-0.08434580834117807,-0.059205443804299075
142,Wilmer Flores,275,125,3,89,133,7,328,0.268,0.31,0.439,0.75,0.25084910237748664,0.3852498786996604,0.2610383309073265,0.10286268801552644,0.04982064567556795,0.0011956954962136306,0.03547229972100439,0.053009166998804313,0.002789956157831805,0.13072937425269032,-0.19504412320038533,0.04229318883110616,-0.049550249884833565,-0.020940208302613637
